step,mean_q_value,std_q_value,max_q_value,min_q_value
20000,0.81043,0.09086779,1.2360034,0.6124952
40000,0.85873926,0.19650036,1.46556,0.5994431
60000,0.8952747,0.2923522,1.7540166,0.54023767
80000,0.9315728,0.41761208,2.034327,0.52413166
100000,1.0298152,0.54101163,2.5837226,0.2258457
120000,1.0350509,0.59154,2.8453887,0.47354248
140000,1.1108902,0.6671337,2.9826267,0.47837734
160000,1.1748888,0.7768877,3.2657752,-0.13092455
180000,1.1340538,0.755702,3.0931997,-0.25894326
200000,1.263342,0.8531276,3.382692,0.3542207
220000,1.359178,0.8926881,3.6101418,0.387437
240000,1.3379599,0.9455778,3.7773216,0.36623305
260000,1.3848896,0.95908415,3.6931174,0.34371316
280000,1.4063485,0.9614577,3.6641185,0.34362096
300000,1.5156822,1.0048587,3.7917223,0.36302146
320000,1.7846292,1.0306047,3.8206484,-0.427608
340000,1.6847727,1.0085232,3.9104266,-0.00071541965
360000,1.7822143,1.0108482,3.5276656,-0.542756
380000,1.6156095,1.0034319,3.498285,-0.7040943
400000,1.5780907,0.9853285,3.3864884,-0.45836562
420000,1.7368765,1.0029496,3.7302656,0.2936958
440000,1.7147238,0.95006,3.552754,0.24380675
460000,1.7776756,0.98522884,3.58672,0.16204545
480000,1.824481,0.9570936,3.696653,0.040141903
500000,1.8684766,0.9843713,4.350156,0.19078885
520000,1.9462888,0.9172681,3.8010907,-0.24806388
540000,2.0157945,0.9272091,4.3127465,0.20056826
560000,2.060393,0.9581047,3.6216002,-0.13229936
580000,2.0697622,0.9275514,3.6729019,-0.71075505
600000,2.2062693,0.85276324,3.6129253,-0.18177335
620000,2.134687,0.91802156,3.79356,-0.5546299
640000,2.244255,0.89983326,3.6184134,0.11848657
660000,2.1972888,0.8847168,3.593027,-0.52411914
680000,2.2522933,0.8409896,3.5854099,-0.21598694
700000,2.2422569,0.83433235,3.6025982,-0.34563473
720000,2.3287141,0.8269587,3.6972508,-0.5146499
740000,2.2733078,0.87423646,3.688615,-0.48995078
760000,2.2927115,0.901191,3.9720407,-0.8614663
780000,2.273332,0.83112764,3.5641127,-0.8302334
800000,2.2640116,0.86096895,3.7232063,0.02614712
820000,2.2410653,0.87077075,3.7233927,-0.7255741
840000,2.2068794,0.7680826,3.4558673,-0.35917947
860000,2.3194165,0.76639706,3.4920018,-0.010591403
880000,2.230493,0.82165253,3.4437673,-0.8387778
900000,2.1755779,0.8301624,3.5187604,-0.43008685
920000,2.0575557,0.92135996,3.541892,-0.5971329
940000,2.0834012,0.88258076,3.448676,-0.68283844
960000,2.0138397,0.885813,3.3909047,-0.52585995
980000,2.077303,0.8246448,3.4290946,-0.7887276
1000000,2.0594423,0.8305846,3.4995146,-0.6260626
1020000,2.2884781,0.7838158,3.739382,-0.8862198
1040000,2.2176113,0.8869352,3.8861847,-0.8940131
1060000,2.3037403,0.81864387,3.853116,-0.4491274
1080000,2.0781472,0.900376,3.8764906,-1.3110243
1100000,2.13891,0.8158362,3.5493019,-0.68209416
1120000,2.0597968,0.8624605,3.8165483,-1.1784989
1140000,1.9891461,0.88660777,3.4901807,-0.509401
1160000,1.9952325,0.8262546,3.6413128,-0.52244115
1180000,2.049913,0.9337368,3.9936876,-0.67652273
1200000,2.1354332,0.81081015,3.63766,-0.74240863
1220000,2.1981995,0.85506773,3.6917946,-0.8886743
1240000,2.2773824,0.86291414,3.7698226,-0.17988673
1260000,2.2489438,0.89020836,3.7082207,-1.8066698
1280000,2.016454,0.96937907,3.8208463,-1.2736318
1300000,2.0777102,1.0006909,3.8933995,-1.3352352
1320000,2.1544247,0.9252394,3.8248432,-1.3766569
1340000,2.1777987,0.797721,3.787795,-0.5498297
1360000,1.9782835,1.0225557,3.8644412,-0.96876717
1380000,1.9434298,1.0173913,3.8866735,-1.2041854
1400000,1.8720225,0.89979005,3.730651,-0.3524931
1420000,1.7276806,0.88229144,3.459913,-0.5433058
1440000,1.8863612,0.905992,3.7587938,-0.41801655
1460000,1.9908761,0.8329532,4.0512323,0.4173783
1480000,2.0205836,0.8279085,3.7382455,0.34524658
1500000,2.163819,0.85575163,3.751059,-0.45919883
1520000,1.903618,0.8704596,3.579779,0.18769106
1540000,2.033743,0.86090225,3.8869045,-0.55089253
1560000,1.8689959,0.92722416,3.4499247,-0.7287795
1580000,1.8689288,0.87931585,3.5686347,-0.16441372
1600000,1.6917076,0.97400343,3.456508,-0.059885994
1620000,1.9937832,0.9055248,3.5798633,-0.5546696
1640000,2.2080305,0.7472203,3.521475,-0.7032723
1660000,2.0769286,0.78852654,3.6451402,-0.70118755
1680000,2.006551,0.8559138,3.6049511,-0.9011159
1700000,1.9488977,0.87978673,3.7357218,-0.75353175
1720000,1.9815267,0.8756706,3.3769112,-0.87606215
1740000,1.8803482,0.9467713,3.6728323,-0.8278566
1760000,1.6863451,0.9089538,3.3094375,-1.5318296
1780000,1.7870483,0.8622803,3.211787,-0.65395296
1800000,2.018196,0.8092816,3.4542882,-1.0476085
1820000,1.9725344,0.8317457,3.336468,-0.7891641
1840000,2.0580306,0.78951216,3.7375374,-0.9013291
1860000,1.9336336,0.8821817,3.4385262,-0.8757835
1880000,1.9331608,0.8798243,3.282129,-0.8707095
1900000,1.8089589,0.8875483,3.3681824,-0.59368294
1920000,1.935332,0.869281,3.4717648,-1.3001668
1940000,2.0692306,0.85216373,3.6218565,-0.92599607
1960000,2.2125041,0.7465301,3.6745322,-0.64554167
1980000,2.188967,0.8330048,3.63265,-1.4227679
2000000,2.0216255,0.9935424,3.6586514,-1.4432347
2020000,1.9671355,0.93892896,3.7728863,-1.3107958
2040000,2.0811431,0.9840348,3.604931,-1.2816927
2060000,1.9888655,1.0480917,3.6247818,-1.2142295
2080000,2.0166185,0.9653897,3.6785264,-0.7089812
2100000,2.1933942,0.8258742,3.7383676,-0.4259839
2120000,2.118566,0.84973806,3.6352723,-0.9615347
2140000,1.9077822,0.9217221,3.4908936,-1.0171335
2160000,1.7424765,0.8927554,3.4424446,-0.5506795
2180000,1.5628014,0.8827241,3.4308925,-0.620106
2200000,1.8502065,0.9484757,3.5653508,-0.7791941
2220000,1.7627188,1.0434945,3.454585,-0.61975664
2240000,1.5807306,1.0230141,3.2949975,-0.22784923
2260000,1.4238077,1.058158,3.4432752,-0.47354296
2280000,1.2901348,1.0810568,3.4555326,-1.0690132
2300000,0.97038335,0.9404552,3.396132,-0.73469317
2320000,1.2107042,1.0913976,3.3892984,-0.8200354
2340000,1.426915,1.0188714,3.2861176,-0.70468616
2360000,1.1770772,0.9862994,3.3334725,-0.66596174
2380000,1.2717562,1.0248793,3.3520117,-0.3680126
2400000,0.9780255,1.0595635,3.4645853,0.057854176
2420000,1.0034438,1.0745472,3.5470104,-0.18514621
2440000,1.1451045,1.1459118,3.5870488,0.030121043
2460000,0.9696372,1.0899282,3.4504051,-0.6500047
2480000,1.3105501,1.170149,3.3322296,-0.7943146
2500000,1.4112867,1.0959959,3.2190368,-0.9049091
2520000,1.4330552,1.101813,3.4201708,-0.26556647
2540000,1.4238101,1.0569315,3.1607916,-0.2301667
2560000,1.5432595,1.010293,3.5234077,-0.4635036
2580000,1.6803586,0.9808374,3.419259,-0.37741432
2600000,1.427968,1.0383173,3.2861896,-0.27311075
2620000,1.2063335,1.1045457,3.3998582,-0.41855186
2640000,1.1588552,1.0834414,3.1511548,-0.6122637
2660000,1.4202602,1.0023072,3.356925,-0.5139673
2680000,1.4078543,1.053187,3.3900511,-0.60177773
2700000,1.5630152,1.0762668,3.457453,-0.6342679
2720000,1.5276852,1.0632735,3.3988302,-1.0257334
2740000,1.5075732,1.0900258,3.3157418,-0.10710333
2760000,1.354741,1.0784385,3.3098586,-0.30441868
2780000,1.4135967,1.1900243,3.3243365,-0.58338284
2800000,0.93817276,1.0885994,3.1456902,-0.16019613
2820000,1.160776,1.1851996,3.196229,-0.5525338
2840000,1.2943999,1.1540464,3.2406056,-0.37948835
2860000,1.4856895,1.1456048,3.3944356,-0.3276965
2880000,1.6897506,1.1209424,3.277704,-0.51921576
2900000,1.5277598,1.1408372,3.0978043,-0.6773451
2920000,1.5814792,1.1416793,3.1875758,-0.37051427
2940000,1.6509666,1.1055082,3.3075454,-0.7669083
2960000,1.5135108,1.1226602,3.3236022,-0.7407622
2980000,1.6389486,1.1337904,3.1950445,-0.92218626
3000000,1.4204456,1.1190989,3.248361,-0.9173793
3020000,1.7061812,1.0119336,3.211098,-0.61677814
3040000,1.6487077,1.0554355,3.1109092,-1.1973699
3060000,1.6811498,1.0619352,3.290374,-0.3798883
3080000,1.5520164,1.142464,3.2040267,-0.33821073
3100000,1.7551666,0.9528928,3.172869,-0.26829964
3120000,1.6590189,1.0129235,3.118339,-1.099392
3140000,1.855992,0.91016597,3.2405496,-1.2043358
3160000,1.9685726,0.89037615,3.1884623,-0.52335894
3180000,1.9484755,0.8879348,3.1849794,-0.45650387
3200000,1.887265,0.940842,3.2035992,-0.6830791
3220000,1.9077568,0.9561284,3.0483005,-0.2993501
3240000,1.6463314,1.0892954,3.1500328,-0.28776374
3260000,1.5218345,1.0869687,3.1063347,-0.24079831
3280000,1.5261105,1.0517949,3.228872,-0.83965516
3300000,1.4158047,1.0837588,3.0927808,-0.74969715
3320000,1.3528587,1.1836226,3.1235008,-0.54646623
3340000,1.2759724,1.0689353,3.1815035,-0.50324094
3360000,1.62193,1.0412904,3.149954,-0.883641
3380000,1.425013,1.0849203,3.120776,-1.5640167
3400000,1.5076449,1.0720216,3.1384714,-0.7918113
3420000,1.3273258,0.9929247,3.0932808,-0.57754546
3440000,1.3630409,1.0698137,3.1044617,-1.2508129
3460000,1.1985531,1.1412438,3.2521281,-0.55958545
3480000,1.408158,1.2198046,3.1666038,-0.42812303
3500000,1.2147754,1.1824548,3.218922,-1.1119189
3520000,1.2727811,1.1499664,3.1124303,-0.27489156
3540000,1.1172687,1.0672363,3.1393192,-0.41052154
3560000,1.2065274,1.0757439,3.0122023,-1.9038754
3580000,1.433876,1.105832,3.0804396,-0.45699605
3600000,1.580473,1.0299517,3.0487957,-0.5206561
3620000,1.7556225,0.90533376,2.9983928,-0.6641298
3640000,1.6749891,0.955549,3.118597,-0.31449324
3660000,1.8360004,0.8589881,3.1567378,-0.52112836
3680000,1.6100047,0.9898626,3.2061927,-0.6419047
3700000,1.8607776,0.8219117,3.084181,-0.63446337
3720000,1.8793287,0.7477298,3.1114528,-0.27599084
3740000,1.8832245,0.7522967,3.147021,-0.32372278
3760000,1.7578262,0.80058956,3.1425252,-0.2435138
3780000,1.8939923,0.78988963,2.9963982,-0.13340433
3800000,1.8685049,0.8291956,3.0328336,-0.3267477
3820000,1.8052616,0.86073333,3.0138147,-0.3036604
3840000,1.7364672,0.8629263,3.0295317,-1.1993227
3860000,1.6648157,0.93277365,2.9117215,-1.2128562
3880000,1.7302049,0.92950034,2.9546947,-0.6502501
3900000,1.747583,0.94287676,2.8889441,-0.41397077
3920000,1.8540853,0.84194404,2.8608696,-0.7328917
3940000,1.8628837,0.7916447,2.9189022,-0.7117164
3960000,1.8651196,0.76935613,2.8837652,-0.50368965
3980000,1.5568072,0.99849606,2.9674006,-0.3729016
4000000,1.7124184,0.9072416,2.9030044,-0.46202666
4020000,1.6180934,0.9065504,2.8496025,-0.19823515
4040000,1.581743,0.93832827,2.7963026,-0.19955643
4060000,1.6492146,0.88857716,2.8873854,-0.16516553
4080000,1.7125304,0.92026114,2.9204106,-0.36190286
